Flow_Timeout(s),Lambda_Rate(packets/s),Average_Delay(s)
1.0,2.53,2.50907990616138
1.0,2.54,2.272828547155964
1.0,2.55,2.432642286693284
1.0,2.56,2.3917948618269134
1.0,2.57,2.367792265485843
1.0,2.5799999999999996,3.0084685676124963
1.0,2.59,2.494250016486446
1.0,2.5999999999999996,2.4757073639485516
1.0,2.61,3.295901217200217
1.0,2.6199999999999997,3.363669543443219
1.0,2.63,3.154236710929113
1.0,2.6399999999999997,2.797721821258854
1.0,2.65,3.101465570487144
1.0,2.6599999999999997,3.107974388716284
1.0,2.67,3.558473643419864
1.0,2.6799999999999997,3.7854762518944813
1.0,2.69,3.7599486310192156
1.0,2.6999999999999997,3.5992242717403693
1.0,2.71,3.372108697801976
1.0,2.7199999999999998,3.2049227959524482
1.0,2.73,4.013109955115344
1.0,2.7399999999999998,3.895014932934016
1.0,2.75,3.6708881294605917
1.0,2.76,6.445117466333452
1.0,2.77,4.797257282031112
1.0,2.78,4.39504973133859
1.0,2.79,5.148932974990535
1.0,2.8,5.047394606444034
1.0,2.81,4.193498815094282
1.0,2.82,6.72548953861506
1.0,2.8299999999999996,5.713556393324299
1.0,2.84,9.488133219896557
1.0,2.8499999999999996,6.062510848487633
1.0,2.86,6.006558840875599
1.0,2.8699999999999997,6.208703483017449
1.0,2.88,8.753249687025946
1.0,2.8899999999999997,8.337305405203683
1.0,2.9,8.043185548406704
1.0,2.9099999999999997,8.141409803238993
1.0,2.92,11.919696614621964
1.0,2.9299999999999997,10.252467651245242
1.0,2.94,8.478635089560251
1.0,2.9499999999999997,8.67833276460916
1.0,2.96,34.27207565213291
1.0,2.9699999999999998,25.15873090868622
1.0,2.98,26.544869593689
1.0,2.9899999999999998,46.98341448317254
2.0,0.01,1.9573464184887346
2.0,0.02,1.9729883409456745
2.0,0.03,1.870865652906552
2.0,0.04,1.8405825155612165
2.0,0.05,1.7712388029252937
2.0,0.060000000000000005,1.7762599246832567
2.0,0.06999999999999999,1.7448606791409813
2.0,0.08,1.7438795703923313
2.0,0.09,1.6828625999198898
2.0,0.09999999999999999,1.6366186283877542
2.0,0.11,1.6707470517369927
2.0,0.12,1.6095985408003861
2.0,0.13,1.5239993875553346
2.0,0.14,1.6121756804302403
2.0,0.15000000000000002,1.5773326218625427
2.0,0.16,1.5436609006966444
2.0,0.17,1.5109971167579788
2.0,0.18000000000000002,1.4840218947435815
2.0,0.19,1.5128237125859956
2.0,0.2,1.4321704646412126
2.0,0.21000000000000002,1.4093467517123042
2.0,0.22,1.451507981862757
2.0,0.23,1.4041684534644052
2.0,0.24000000000000002,1.382631058154873
2.0,0.25,1.3737311131526664
2.0,0.26,1.3976452292089478
2.0,0.27,1.3885013680820113
2.0,0.28,1.3499154839116638
2.0,0.29000000000000004,1.2788840069215117
2.0,0.3,1.3051942700343948
2.0,0.31,1.3103763589375068
2.0,0.32,1.2722793036374749
2.0,0.33,1.2685803445673725
2.0,0.34,1.270808529342233
2.0,0.35000000000000003,1.2833113642307004
2.0,0.36000000000000004,1.2148663801499338
2.0,0.37,1.2281643215296305
2.0,0.38,1.1970869224484149
2.0,0.39,1.2161579065694637
2.0,0.4,1.2288350746419812
2.0,0.41000000000000003,1.1839658319169681
2.0,0.42000000000000004,1.1654723176103843
2.0,0.43,1.146976561841074
2.0,0.44,1.1582022181155274
2.0,0.45,1.1577048374689312
2.0,0.46,1.1431926774388053
2.0,0.47000000000000003,1.1337769030050553
2.0,0.48000000000000004,1.1330069003441108
2.0,0.49,1.099157147558814
2.0,0.5,1.1084268921806244
2.0,0.51,1.1155836496236353
2.0,0.52,1.0784140273489555
2.0,0.53,1.0893716778941043
2.0,0.54,1.074863544370838
2.0,0.55,1.0420843525660712
2.0,0.56,1.0754062448054214
